date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:45:56	96/96	---MCZ	200	added ('OK')	text/plain	date:Sat,%2006%20Nov%202021%2015:45:52%20GMT	https://www.caretta-spa.cz/robots.txt		(from )
16:45:57	195046/195046	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Nov%202021%2015:45:52%20GMT	https://www.caretta-spa.cz/	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/index.html	(from )
16:45:57	18865/18865	---M--	200	added ('OK')	image/png	etag:%225a0d4f07-49b1%22	https://www.caretta-spa.cz/img/logo-fb.png	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/img/logo-fb.png	(from https://www.caretta-spa.cz/)
16:45:57	2285/2285	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.caretta-spa.cz/img/xfavicon.jpg.pagespeed.ic.koGU45d2O8.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/img/xfavicon.jpg.pagespeed.ic.koGU45d2O8.jpg	(from https://www.caretta-spa.cz/)
16:45:57	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225a0d4ef1-4e9f%22	https://www.caretta-spa.cz/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/fonts/glyphicons-halflings-regular.eot	(from https://www.caretta-spa.cz/)
16:45:57	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225a0d4ef1-4e9f%22	https://www.caretta-spa.cz/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/fonts/glyphicons-halflings-regulard41d.eot	(from https://www.caretta-spa.cz/)
16:45:58	18028/18028	---M--	200	added ('OK')	application/octet-stream	etag:%225a0d4ef1-466c%22	https://www.caretta-spa.cz/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/fonts/glyphicons-halflings-regular.woff2	(from https://www.caretta-spa.cz/)
16:45:58	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%225a0d4ef1-5b80%22	https://www.caretta-spa.cz/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/fonts/glyphicons-halflings-regular.woff	(from https://www.caretta-spa.cz/)
16:45:58	45404/45404	---M--	200	added ('OK')	application/octet-stream	etag:%225a0d4ef1-b15c%22	https://www.caretta-spa.cz/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/fonts/glyphicons-halflings-regular.ttf	(from https://www.caretta-spa.cz/)
16:45:58	108738/108738	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a0d4ef1-1a8c2%22	https://www.caretta-spa.cz/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/fonts/glyphicons-halflings-regular.svg	(from https://www.caretta-spa.cz/)
16:45:58	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225a0d4f07-12ae6%22	https://www.caretta-spa.cz/plugins/font-awesome-4.6.3/fonts/fontawesome-webfont.eot?v=4.6.3	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/plugins/font-awesome-4.6.3/fonts/fontawesome-webfont5b62.eot	(from https://www.caretta-spa.cz/)
16:45:59	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225a0d4f07-12ae6%22	https://www.caretta-spa.cz/plugins/font-awesome-4.6.3/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/plugins/font-awesome-4.6.3/fonts/fontawesome-webfontd41d.eot	(from https://www.caretta-spa.cz/)
16:45:59	71896/71896	---M--	200	added ('OK')	application/octet-stream	etag:%225a0d4f07-118d8%22	https://www.caretta-spa.cz/plugins/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2?v=4.6.3	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/plugins/font-awesome-4.6.3/fonts/fontawesome-webfont5b62.woff2	(from https://www.caretta-spa.cz/)
16:45:59	90412/90412	---M--	200	added ('OK')	application/font-woff	etag:%225a0d4f07-1612c%22	https://www.caretta-spa.cz/plugins/font-awesome-4.6.3/fonts/fontawesome-webfont.woff?v=4.6.3	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/plugins/font-awesome-4.6.3/fonts/fontawesome-webfont5b62.woff	(from https://www.caretta-spa.cz/)
16:45:59	152796/152796	---M--	200	added ('OK')	application/octet-stream	etag:%225a0d4f07-254dc%22	https://www.caretta-spa.cz/plugins/font-awesome-4.6.3/fonts/fontawesome-webfont.ttf?v=4.6.3	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/plugins/font-awesome-4.6.3/fonts/fontawesome-webfont5b62.ttf	(from https://www.caretta-spa.cz/)
